frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
2500,7,500,90,12.5,-2.7,-0.92,-7.131,-4.99,-6.56
3150,7,500,90,12.5,-3.7,-1.51,-10.559,-15.87,-9.96
4000,7,500,90,12.5,-5.5,-2.47,-15.93,-15.87,-15.16
5000,7,500,90,12.5,-8.9,-3.88,-24.309,-15.87,-23.06
6300,7,500,90,12.5,-13.9,-6.12,-37.139,-56.69,-34.76
8000,7,500,90,12.5,-21.8,-9.7,-56.849,-56.69,-51.26
10000,7,500,90,12.5,-34.2,-14.7,-86.368,-56.69,-73.16
50,7,500,180,12.5,0.8,5.62,2.972,2.91,-1.76
63,7,500,180,12.5,-2.4,5.5,2.837,2.91,-1.26
80,7,500,180,12.5,0.4,5.29,2.847,2.91,-0.66
100,7,500,180,12.5,0.3,2.02,-3.215,-3.28,-1.36
125,7,500,180,12.5,0.3,1.61,-3.26,-3.28,-2.66
160,7,500,180,12.5,0.3,0.98,-3.408,-3.28,-1.96
200,7,500,180,12.5,0.2,0.24,-6.489,-6.65,-1.06
250,7,500,180,12.5,0.2,-0.65,-6.629,-6.65,-0.36
315,7,500,180,12.5,0.1,-1.66,-6.848,-6.65,0.34
400,7,500,180,12.5,0,-2.82,-3.251,-3.46,0.94
500,7,500,180,12.5,-0.1,-3.97,-3.427,-3.46,1.34
630,7,500,180,12.5,-0.2,-5.31,-3.759,-3.46,1.14
800,7,500,180,12.5,-0.3,-7.03,-1.936,-2.29,0.14
1000,7,500,180,12.5,-0.5,-9.2,-2.36,-2.29,-1.56
1250,7,500,180,12.5,-0.7,-12.38,-2.851,-2.29,-2.06
1600,7,500,180,12.5,-1.1,-17.78,-3.641,-4.99,-2.96
2000,7,500,180,12.5,-1.7,-25.45,-5.06,-4.99,-4.36
2500,7,500,180,12.5,-2.7,-37.29,-7.131,-4.99,-6.56
3150,7,500,180,12.5,-3.7,-56.51,-10.559,-15.87,-9.96
4000,7,500,180,12.5,-5.6,-87.9,-15.93,-15.87,-15.16
5000,7,500,180,12.5,-8.9,-133.72,-24.309,-15.87,-23.06
6300,7,500,180,12.5,-13.9,-206.77,-37.139,-56.69,-34.76
8000,7,500,180,12.5,-21.8,-323.24,-56.849,-56.69,-51.26
