frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
1250,7,500,180,12.5,-0.6,-12.38,-2.851,-2.29,-2.06,-65.05104356
1600,7,500,180,12.5,-1,-17.78,-3.641,-4.99,-2.96,-65.05104356
2000,7,500,180,12.5,-1.6,-25.45,-5.06,-4.99,-4.36,-65.05104356
2500,7,500,180,12.5,-2.4,-37.29,-7.131,-4.99,-6.56,-65.05104356
3150,7,500,180,12.5,-3.8,-56.51,-10.559,-15.87,-9.96,-65.05104356
4000,7,500,180,12.5,-6,-87.9,-15.93,-15.87,-15.16,-65.05104356
5000,7,500,180,12.5,-9.5,-133.72,-24.309,-15.87,-23.06,-65.05104356
6300,7,500,180,12.5,-14.5,-206.77,-37.139,-56.69,-34.76,-65.05104356
8000,7,500,180,12.5,-22.2,-323.24,-56.849,-56.69,-51.26,-65.05104356
10000,7,500,180,12.5,-34.1,-486.28,-86.368,-56.69,-73.16,-65.05104356
50,9,500,0,12.5,0.4,3.153,2.875,2.933,-1.057,-65.05104356
63,9,500,0,12.5,0.9,3.133,2.841,2.933,-2.657,-65.05104356
80,9,500,0,12.5,0.3,3.103,2.75,2.933,-4.057,-65.05104356
100,9,500,0,12.5,0.3,0.073,-3.312,-3.247,-3.957,-65.05104356
125,9,500,0,12.5,0.3,0.013,-3.457,-3.247,-1.857,-65.05104356
160,9,500,0,12.5,0.2,-0.067,-3.605,-3.247,0.443,-65.05104356
200,9,500,0,12.5,0.2,-0.167,-6.585,-6.607,1.943,-65.05104356
250,9,500,0,12.5,0.1,-0.287,-6.726,-6.607,2.043,-65.05104356
315,9,500,0,12.5,0.1,-0.427,-6.945,-6.607,-0.157,-65.05104356
400,9,500,0,12.5,0,-0.577,-3.348,-3.407,-3.757,-65.05104356
500,9,500,0,12.5,0,-0.737,-3.524,-3.407,-0.157,-65.05104356
630,9,500,0,12.5,-0.1,-0.917,-3.756,-3.407,0.043,-65.05104356
800,9,500,0,12.5,-0.2,-1.147,-1.933,-2.217,-2.157,-65.05104356
1000,9,500,0,12.5,-0.4,-1.437,-2.357,-2.217,-1.557,-65.05104356
1250,9,500,0,12.5,-0.6,-1.867,-2.948,-2.217,-2.257,-65.05104356
1600,9,500,0,12.5,-1,-2.597,-3.638,-4.847,-3.157,-65.05104356
2000,9,500,0,12.5,-1.6,-3.627,-5.057,-4.847,-4.557,-65.05104356
2500,9,500,0,12.5,-2.4,-5.217,-7.128,-4.847,-6.757,-65.05104356
3150,9,500,0,12.5,-3.7,-7.807,-10.556,-15.467,-10.057,-65.05104356
4000,9,500,0,12.5,-5.8,-12.027,-15.727,-15.467,-15.257,-65.05104356
5000,9,500,0,12.5,-9.2,-18.197,-24.106,-15.467,-23.057,-65.05104356
6300,9,500,0,12.5,-14.2,-28.027,-36.736,-55.277,-34.557,-65.05104356
8000,9,500,0,12.5,-21.8,-43.707,-56.146,-55.277,-50.857,-65.05104356
10000,9,500,0,12.5,-33.5,-65.647,-85.365,-55.277,-72.557,-65.05104356
50,9,500,90,12.5,0.5,3.3,2.972,2.91,-0.56,-65.05104356
63,9,500,90,12.5,1.7,3.3,2.837,2.91,-1.06,-65.05104356
80,9,500,90,12.5,0.3,3.29,2.847,2.91,-2.76,-65.05104356
100,9,500,90,12.5,0.3,0.29,-3.215,-3.28,-4.86,-65.05104356
125,9,500,90,12.5,0.3,0.28,-3.26,-3.28,-4.06,-65.05104356
160,9,500,90,12.5,0.2,0.26,-3.408,-3.28,-1.66,-65.05104356
200,9,500,90,12.5,0.2,0.24,-6.489,-6.65,-0.26,-65.05104356
250,9,500,90,12.5,0.1,0.22,-6.629,-6.65,1.54,-65.05104356
315,9,500,90,12.5,0.1,0.19,-6.848,-6.65,2.64,-65.05104356
400,9,500,90,12.5,0,0.16,-3.251,-3.46,3.04,-65.05104356
500,9,500,90,12.5,0,0.13,-3.427,-3.46,2.34,-65.05104356
